
[2024-01-19 11:19:07.760562] Epoch: 78 / 1000, Frames: 23700, Gov_Rewards: -756.815, House_Rewards: 83.368, years:1.000, actor_loss: 73519.974, critic_loss: 472946.194
[2024-01-19 11:19:17.739472] Epoch: 79 / 1000, Frames: 24000, Gov_Rewards: -747.939, House_Rewards: 84.942, years:1.000, actor_loss: 73593.331, critic_loss: 243146.185
[2024-01-19 11:19:27.666265] Epoch: 80 / 1000, Frames: 24300, Gov_Rewards: -693.676, House_Rewards: 84.780, years:1.000, actor_loss: 73497.578, critic_loss: 228143.538
[2024-01-19 11:19:37.504345] Epoch: 81 / 1000, Frames: 24600, Gov_Rewards: -701.527, House_Rewards: 85.110, years:1.000, actor_loss: 73387.886, critic_loss: 356362.458
[2024-01-19 11:19:47.516739] Epoch: 82 / 1000, Frames: 24900, Gov_Rewards: -707.703, House_Rewards: 85.201, years:1.000, actor_loss: 73219.275, critic_loss: 223726.962
[2024-01-19 11:19:57.528983] Epoch: 83 / 1000, Frames: 25200, Gov_Rewards: -708.931, House_Rewards: 85.167, years:1.000, actor_loss: 73211.116, critic_loss: 324173.632
[2024-01-19 11:20:07.246699] Epoch: 84 / 1000, Frames: 25500, Gov_Rewards: -697.131, House_Rewards: 85.455, years:1.000, actor_loss: 73079.893, critic_loss: 300009.716
[2024-01-19 11:20:17.222745] Epoch: 85 / 1000, Frames: 25800, Gov_Rewards: -695.906, House_Rewards: 85.969, years:1.000, actor_loss: 72951.772, critic_loss: 248770.527
[2024-01-19 11:20:27.237813] Epoch: 86 / 1000, Frames: 26100, Gov_Rewards: -694.803, House_Rewards: 86.388, years:1.000, actor_loss: 72659.989, critic_loss: 268483.865
[2024-01-19 11:20:37.096260] Epoch: 87 / 1000, Frames: 26400, Gov_Rewards: -695.619, House_Rewards: 86.763, years:1.000, actor_loss: 72691.409, critic_loss: 204782.230
[2024-01-19 11:20:47.172012] Epoch: 88 / 1000, Frames: 26700, Gov_Rewards: -688.060, House_Rewards: 87.088, years:1.000, actor_loss: 72418.140, critic_loss: 217616.601
[2024-01-19 11:20:57.113161] Epoch: 89 / 1000, Frames: 27000, Gov_Rewards: -702.897, House_Rewards: 87.136, years:1.000, actor_loss: 72243.702, critic_loss: 264239.217
[2024-01-19 11:21:07.242901] Epoch: 90 / 1000, Frames: 27300, Gov_Rewards: -700.399, House_Rewards: 87.541, years:1.000, actor_loss: 72088.880, critic_loss: 261998.367
[2024-01-19 11:21:16.962416] Epoch: 91 / 1000, Frames: 27600, Gov_Rewards: -697.041, House_Rewards: 87.317, years:1.000, actor_loss: 72133.731, critic_loss: 210461.929
[2024-01-19 11:21:26.428954] Epoch: 92 / 1000, Frames: 27900, Gov_Rewards: -700.690, House_Rewards: 87.994, years:1.000, actor_loss: 71887.737, critic_loss: 194995.780
[2024-01-19 11:21:36.396548] Epoch: 93 / 1000, Frames: 28200, Gov_Rewards: -699.941, House_Rewards: 87.824, years:1.000, actor_loss: 71873.123, critic_loss: 235838.268
[2024-01-19 11:21:46.233548] Epoch: 94 / 1000, Frames: 28500, Gov_Rewards: -698.734, House_Rewards: 87.707, years:1.000, actor_loss: 71933.395, critic_loss: 378484.974
